ID;X;Y;CATEGORY;NAME;WWW
1623;1280527;6728964;FIN;Sven Schneider Hauptvertretung;
1624;1276940;6730426;FIN;Ingrid Arndt Hauptvertretung;
1626;1332834;6747475;FIN;Holger Strauss;
1627;1326235;6759552;FIN;DEVK Versicherungen - Juergen Lucius;
1628;1322123;6739866;FIN;Kreissparkasse Anhalt-Bitterfeld Gröbzig Filiale;
1629;1320559;6735222;FIN;Eva Kurde Hauptvertretung;
1630;1305746;6755804;FIN;Salzlandsparkasse Friedensallee (Beratung) Geschäftsstelle;
1631;1305680;6755425;FIN;DEVK Versicherungen - Stefan Keller;
1632;1298474;6739005;FIN;Allianz Thomas Pröschel Hauptvertretung;
1633;1308661;6763015;FIN;Volksbank Börde-Bernburg eG Filiale;www.vbb.info
1634;1274282;6748376;FIN;Postbank Finanzcenter;
1635;1274577;6749142;FIN;Verkaufsregion Aschersleben/Giersleben;
1636;1260298;6756550;FIN;Salzlandsparkasse Nachterstedt (Beratung) Geschäftsstelle;
1638;1239743;6754028;FIN;Xiaowei Rapp-Wang - VR Asien;
1639;1238650;6754522;FIN;Hünecke, Hardy;http://www.hardy.huenecke.ergo.de
1640;1236484;6743562;FIN;Harzsparkasse Bad Suderode Geschäftsstelle;
1641;1239116;6743043;FIN;Ostharzer Volksbank eG;www.ostharzer-volksbank.de
1642;1255624;6696349;FIN;Sparkasse Mansfeld-Südharz Westsiedlung, Sangerhausen SB-Standort;
1643;1270825;6704209;FIN;Sparkasse Mansfeld-Südharz Blankenheim Mobile Geschäftsstelle;
1644;1231086;6696133;FIN;Deutsche Post;
1645;1311780;6642656;FIN;Sparkasse Burgenlandkreis Naumburg - Am Bahnhof Geldautomat;
1648;1287274;6664541;FIN;Sparkasse Burgenlandkreis Nebra Geschäftsstelle;
1649;1285529;6635505;FIN;Haike Raabe Hauptvertretung;
1650;1334160;6648969;FIN;Sparkasse Burgenlandkreis Weißenfels-Borau im Kaufland Geldautomat;
1651;1330609;6650181;FIN;Thomas Ruske Generalvertretung;
1652;1340407;6646347;FIN;Roland Pscheor Hauptvertretung;
1653;1346233;6629505;FIN;Sparkasse Burgenlandkreis Theißen Geschäftsstelle;
1654;1348132;6621751;FIN;Ronald Zölke Hauptvertretung;
1655;1384895;6744120;FIN;Vertrauensmann Reinhard Marx;
1656;1373422;6730647;FIN;DEVK Versicherungen - Herbert Richter;
1658;1361303;6761423;FIN;Christine Pflug Generalvertretung;
1659;1361880;6763253;FIN;DEVK Versicherungen - Ulf-Henrik Meier;http://ulf-henrik-meier.devk.de
1660;1361993;6772495;FIN;Postbank Finanzcenter;
1661;1406115;6769283;FIN;Sparkasse Wittenberg Neues Rathaus Geldautomat;
1663;1405493;6769573;FIN;FINAS Versicherungsmakler GmbH Petra Nehmitz;
1664;1422416;6776759;FIN;Kapitallotsen Maik Kusch-Nerenz;
1665;1429619;6759974;FIN;Elke & Dietmar Faust GbR;
1666;1405266;6751824;FIN;Christine Pflug Generalvertretung;
1668;1261552;6551370;FIN;Kreissparkasse Saalfeld-Rudolstadt Thüringen-Klinik SB-Geschäftsstelle;
1669;1260804;6552657;FIN;Jens Voigtländer;
1670;1271094;6553515;FIN;HSH Versicherungsmakler GmbH;http:///www.hsh24.de
1671;1272954;6551365;FIN;Kreissparkasse Saalfeld-Rudolstadt Kamsdorf Geldautomat;
1672;1271035;6546612;FIN;Kreissparkasse Saalfeld-Rudolstadt Kaulsdorf Finanzcenter;
1673;1289191;6560151;FIN;Kreissparkasse Saale-Orla Pößneck / Breite Straße Geschäftsstelle;
1674;1288581;6559473;FIN;Allianz Service Büro Jan Rückert;
1675;1260578;6564546;FIN;Norman Elstermann Generalvertretung;
1676;1343229;6595138;FIN;Sparkasse Gera-Greiz Berliner Straße Geldautomat;
1677;1343704;6591562;FIN;Mario Hietschold Region Gera;
1678;1344135;6593236;FIN;Versicherungszentrum Gera Carolin Riedel;
1679;1342440;6587681;FIN;Körbs, Kevin;http://www.kevin.koerbs.ergo.de
1681;1345054;6577776;FIN;Görgner, Frank;http://www.frank.goergner.ergo.de
1682;1345054;6577776;FIN;Büchner, Christine;http://www.christine.buechner.ergo.de
1683;1353913;6589569;FIN;Vertrauensmann Bernd-Steffen Kertscher;
1684;1326942;6582233;FIN;Sparkasse Gera-Greiz Münchenbernsdorf Geldautomat;
1685;1323148;6608467;FIN;Michael John Generalvertretung;
1686;1323152;6610228;FIN;Verfinanz Steffen Beier;
1687;1287394;6596275;FIN;Mario Loche Hauptvertretung;
1688;1287068;6600508;FIN;Höfer, Günter;
1689;1292741;6602245;FIN;Pusch, Andreas;http://www.andreas.pusch.ergo.de
1690;1288362;6578814;FIN;Sparkasse Jena-Saale-Holzland Kahla Geldautomat;
1691;1288536;6578967;FIN;Witlof Oertel Hauptvertretung;
1692;1301221;6624987;FIN;Frank Abramowski;
1693;1331057;6550879;FIN;Andreas Adler Vers.- und Finanzmakler;
1694;1340574;6553730;FIN;Horlbeck, Gunter;http://www.gunter.horlbeck.ergo.de
1695;1352228;6570033;FIN;Volksbank Vogtland eG Geschäftsstelle Berga;http://www.volksbank-vogtland.de
1696;1352634;6570395;FIN;Mario Heine Generalvertretung;
1697;1391510;6561151;FIN;Sparkasse Zwickau Geschäftsstelle Oberhohndorf Geldautomat;
1698;1388553;6564723;FIN;Sparkasse Zwickau Geschäftsstelle Crimmitschauer Str. Geldautomat;
1699;1389471;6564145;FIN;Sparkasse Zwickau Hauptmarkt Geschäftsstelle;
1700;1386170;6565053;FIN;Sinner, Viktor;http://www.viktor.sinner.ergo.de
1701;1391608;6556472;FIN;Volksbank Zwickau eG - GS Wilkau-Haßlau;www.volksbank-zwickau.de
1702;1398948;6566564;FIN;Sparkasse Zwickau Mülsen St. Jacob Geschäftsstelle;
1703;1390318;6573478;FIN;Sigrid Herzig Generalvertretung;
1704;1378640;6527614;FIN;Sparkasse Vogtland Auerbach Geschäftsstelle;
1705;1371922;6521476;FIN;DEVK Versicherungen - Heiko Graichen;http://heiko-graichen.devk.de
1707;1386434;6502811;FIN;Horst Hinkfoth Generalvertretung;
1708;1375475;6493389;FIN;Sparkasse Vogtland Erlbach Geschäftsstelle;
1709;1412202;6541428;FIN;Postbank Finanzcenter;
1710;1405477;6542374;FIN;Dietmar Fritsch;
1711;1415696;6547341;FIN;Volksbank Erzgebirge, Zweigniederlassung der Volksbank Chemnitz eG, Filiale Lößnitz;www.volksbank-chemnitz.de
1713;1415986;6547331;FIN;FinanzService Manuela Veits;
1714;1415818;6537462;FIN;Erzgebirgssparkasse Lauter Geldautomat;
1715;1405633;6537023;FIN;Rene Herrmann Generalvertretung;
1717;1419400;6521689;FIN;Dietmar Mahlow Generalvertretung;
1718;1385972;6586839;FIN;Mandy Steinbach Hauptvertretung;
1719;1374710;6565060;FIN;Hummel, Nadine;http://www.nadine.hummel.ergo.de
1720;1376801;6581770;FIN;FINAS Versicherungsmakler GmbH Doris Widra;
1721;1369389;6553055;FIN;Jürgen Schornbaum Versicherungen + Kapitalanlage;
1724;1349546;6525904;FIN;PLAUEN;
1725;1350209;6525525;FIN;Versicherungen-Investments Ronny Muck;http://www.versicherungen-investments.de
1726;1341156;6516426;FIN;Sparkasse Vogtland Weischlitz Geldautomat;
1727;1360703;6487951;FIN;Berthold Knoll Generalvertretung;
1728;1437009;6584696;FIN;Romy Thumm;http://romy.thumm.barmenia.de
1729;1436516;6584650;FIN;Concordia Versicherungen Bezirksdirektion Dresden;https://www.concordia.de/dresden
1730;1434090;6588315;FIN;Dagmar Seifert;https://www.concordia.de/dagmar-seifert
1731;1433213;6584460;FIN;Post & Partner Untern.Coaching Inh. Günther Post;
1732;1437663;6581723;FIN;Servicebüro Chemnitz;
1733;1439673;6585761;FIN;Sparkasse Chemnitz Heinrich-Schütz-Straße Geldautomat;
1734;1438856;6584925;FIN;Kundendienstbüro Annette Liebscher;
1735;1439457;6587563;FIN;Sparkasse Chemnitz Frankenberger Straße Geldautomat;
1736;1440806;6590054;FIN;Deutsche Post;
1737;1440692;6589934;FIN;DEVK Versicherungen - Frank Uhlig;http://frank-uhlig.devk.de
1739;1419543;6588509;FIN;Kundendienstbüro Anita-Barbara Weichert;
1740;1418672;6588933;FIN;Limbacher Versicherungsmakler Thomas Rau;http://www.Livm.de
1742;1436074;6566972;FIN;Vertrauensfrau Hannelore Klein;
1743;1435143;6597000;FIN;Sparkasse Mittelsachsen Auerswalde Geschäftsstelle;
1744;1427184;6589354;FIN;Sparkasse Chemnitz Rathausplatz Geldautomat;
1745;1418370;6607214;FIN;Volksbank Mittweida eG;www.volksbank-mittweida.de
1746;1413955;6578723;FIN;Josef Duttenhöfer Hauptvertretung;
1747;1403467;6571455;FIN;Sparkasse Chemnitz Fr.-Ludwig-Jahn-Straße Geldautomat;
1748;1415246;6565436;FIN;Erzgebirgssparkasse Neuoelsnitz SB-Stelle;
1749;1425651;6570423;FIN;Bernd Lehmann Generalvertretung;
1750;1444082;6569403;FIN;Erzgebirgssparkasse Dittersdorf Beratungsfiliale;
1752;1446380;6542829;FIN;Erzgebirgssparkasse Annaberg Herzog-Georg-Ring SB-Stelle;
1753;1446934;6541489;FIN;Norman Gorisch-Kletzin Hauptvertretung;
1754;1446317;6539460;FIN;DEVK Versicherungen - Regina Störzel;http://regina-stoerzel.devk.de
1755;1445751;6539588;FIN;Kundendienstbüro Heike Schubert;
1756;1444983;6532242;FIN;Erzgebirgssparkasse Sehmatal Beratungsfiliale;
1757;1448653;6525736;FIN;Servicebüro Bärenstein;
1758;1437772;6527843;FIN;Hans-Joerg Ullmann;http://hans-joerg.ullmann.barmenia.de
1759;1484777;6560562;FIN;Erzgebirgssparkasse Pfaffroda Geldautomat;
1760;1483654;6597889;FIN;Sparkasse Mittelsachsen Freiberg - Alekto Geldautomat;
1762;1484237;6598499;FIN;Binder, Andreas;http://www.andreas.binder.ergo.de
1764;1492318;6563185;FIN;Sparkasse Mittelsachsen Sayda Geschäftsstelle;
1765;1492295;6563222;FIN;Deutsche Post;
1766;1494170;6562647;FIN;TGE Consult GmbH Finanzagentur;
1767;1505459;6578969;FIN;Sparkasse Mittelsachsen Frauenstein Geschäftsstelle;
1768;1447931;6622632;FIN;Sparkasse Mittelsachsen Kriebethal Geldautomat;
1769;1443409;6611259;FIN;Volksbank Mittweida eG;www.volksbank-mittweida.de
1771;1449938;6598455;FIN;Dietmar Palm;https://www.concordia.de/dietmar-palm
1773;1489583;6889651;FIN;Tino Schönberger;www.axa-betreuer.de/Tino_Schoenberger
1774;1488709;6886853;FIN;Berliner Sparkasse U-Bhf. Friedrichstr. Geldautomat;
1775;1488494;6886926;FIN;DEVK Versicherungen - Sparda-Bank Berlin eG;
1776;1488844;6886183;FIN;FinConsultix Finanzdienst- leistungsges. mbH & Co. KG;http://www.finconsultix.de
1777;1489859;6889470;FIN;Berliner Sparkasse Brunnenstraße SB-Center;
1778;1490328;6887308;FIN;Berliner Sparkasse Litfaß-Platz Geldautomat;
1779;1491531;6887012;FIN;Berliner Sparkasse Alexanderplatz (PKC 001) PrivatkundenCenter;
1780;1491125;6887515;FIN;Peschk, Franziska;http://www.franziska.peschk.ergo.de
1781;1495886;6887104;FIN;Sabine Tauchert;www.axa-betreuer.de/Sabine_Tauchert
1782;1495190;6887211;FIN;Goldbach, Wolfdieter;http://www.wolfdieter.goldbach.ergo.de
1783;1502528;6879328;FIN;Krüger, Michael;http://www.michael.krueger.ergo.de
1784;1501108;6885925;FIN;Frank Barkholz;
1785;1497840;6888898;FIN;Berliner Sparkasse Anton-Saefkow-Platz (PKC 175) PrivatkundenCenter;
1786;1493213;6889154;FIN;Le, Minh Phu;http://www.minh.phu.le.ergo.de
1787;1494760;6891822;FIN;Berliner Sparkasse Pankow FirmenCenter;
1788;1491332;6890812;FIN;Berliner Sparkasse Schönhauser Allee Geldautomat;
1789;1490308;6891878;FIN;Rolf Blunk;
1790;1483683;6886751;FIN;Deutsche Post;
1791;1484158;6887855;FIN;Deutsche Bank;
1792;1478874;6887202;FIN;Ulf-Peter Karsch Hauptvertretung;
1793;1479594;6886826;FIN;Haeberle, Rocco;http://www.rocco.haeberle.ergo.de
1794;1479594;6886826;FIN;Haack, Oliver;http://www.oliver.haack.ergo.de
1795;1478891;6888984;FIN;Berliner Sparkasse U-Bhf. Jungfernheide Geldautomat;
1796;1482535;6884462;FIN;Deutsche Bank;
1797;1480241;6883448;FIN;Deutsche Bank;
1798;1478643;6882989;FIN;LATIUM Unternehmensberatungs- und Handels GmbH;
1799;1481376;6880823;FIN;Deutsche Bank;
1800;1483505;6884321;FIN;Berliner Volksbank eG;www.berliner-volksbank.de
1801;1482999;6884103;FIN;Berliner Sparkasse Europa-Center Geldautomat;
1802;1483538;6883756;FIN;Melchin + Langnickel Versicherungsmakler GmbH;
1803;1483158;6883937;FIN;Zieglschmid Finanzconsulting;
1804;1484955;6880257;FIN;Vertrauensmann Bernd Albrecht;
1805;1485605;6880350;FIN;Ulrich Schwiethal;www.axa-betreuer.de/Ulrich_Schwiethal
1806;1489745;6881311;FIN;Postbank Finanzcenter;
1807;1492794;6881243;FIN;Berliner Volksbank eG, FinanzCenter Neukölln;www.berliner-volksbank.de
1808;1489976;6884980;FIN;Detlef Weiner Generalvertretung;
1809;1492160;6883130;FIN;Berliner Sparkasse Skalitzer Straße Geldautomat;
1810;1493754;6880076;FIN;Berliner Volksbank eG, Filiale Karl-Marx-Straße;
1811;1494627;6877866;FIN;Berliner Sparkasse Karl-Marx-Straße Geldautomat;
1812;1497507;6878112;FIN;Ulrike Kornfeld Generalvertretung;
1813;1483582;6877296;FIN;Berliner Sparkasse Edeka Cranachstraße Geldautomat;
1814;1482253;6877189;FIN;Deutsche Bank;
1815;1482506;6876865;FIN;Ralph Anton + René Anton Generalvertretung;
1816;1480977;6877170;FIN;Wiesner, Mike;
1817;1478588;6872846;FIN;Berliner Sparkasse Drakestraße (PKC 122) PrivatkundenCenter;
1818;1478204;6873362;FIN;Servicebüro Berlin;
1819;1480277;6869169;FIN;Berliner Sparkasse Kaufland Ostpreußendamm Geldautomat;
1820;1482004;6871390;FIN;Strauß, Jens;http://www.jens.strauss.ergo.de
1821;1483631;6871381;FIN;Postbank Finanzcenter;
1822;1482801;6870646;FIN;Reinert, Andreas;http://www.a.reinert.ergo.de
1823;1489231;6868230;FIN;Vertrauensmann Rudolf Laue;
1824;1490388;6862673;FIN;BERLIN-LICHTENRADE;
1825;1490075;6862673;FIN;Christiane Fuchs Hauptvertretung;
1826;1491003;6862719;FIN;Berliner Sparkasse Goltzstraße (PKC 133) PrivatkundenCenter;
1827;1491003;6862719;FIN;Berliner Sparkasse Lichtenrade FinanzCenter;
1828;1491003;6862719;FIN;Berliner Sparkasse Goltzstraße Geldautomat;
